season_code,team,avg_gk,avg_def,avg_mid,avg_att,avg_overall,squad_depth
1415,Arsenal,66.6,73.2,76.6,76.2,74.2,81.2
1415,Aston Villa,71.0,70.1,69.4,68.8,69.6,75.0
1415,Burnley,68.7,63.8,66.5,67.2,65.8,70.3
1415,Chelsea,82.3,72.1,71.5,76.5,73.3,83.1
1415,Crystal Palace,67.8,68.7,70.0,70.3,69.4,73.5
1415,Everton,71.0,74.6,71.7,71.8,72.4,79.1
1415,Hull,69.7,69.0,71.2,65.8,68.9,74.1
1415,Leicester,65.7,68.9,67.5,63.8,66.5,71.3
1415,Liverpool,70.0,75.0,73.8,71.3,73.1,80.1
1415,Man City,67.0,76.5,75.3,70.7,73.4,82.7
1415,Man United,71.8,71.4,74.1,75.5,73.4,81.8
1415,Newcastle,69.3,72.0,70.8,68.9,70.5,75.9
1415,QPR,71.7,68.0,69.7,73.2,69.8,76.0
1415,Southampton,68.4,72.3,66.2,70.2,68.9,76.0
1415,Stoke,70.5,70.3,71.9,67.9,70.1,75.7
1415,Sunderland,65.2,70.1,66.9,69.2,68.0,74.5
1415,Swansea,65.0,69.0,68.4,70.7,68.7,75.5
1415,Tottenham,80.7,74.9,70.6,75.0,73.5,79.9
1415,West Brom,67.0,69.3,69.5,70.0,69.3,75.2
1415,West Ham,69.0,67.7,70.2,69.3,69.1,75.3
1516,Arsenal,65.2,72.8,75.5,78.4,73.8,82.3
1516,Aston Villa,70.3,74.6,72.2,71.9,72.6,75.8
1516,Bournemouth,70.7,68.2,70.2,70.1,69.6,73.5
1516,Chelsea,75.7,77.8,75.3,77.0,76.3,83.8
1516,Crystal Palace,70.8,71.9,71.8,69.8,71.1,75.9
1516,Everton,72.3,72.1,74.2,75.0,73.5,78.9
1516,Leicester,74.5,68.3,68.8,67.8,68.8,74.9
1516,Liverpool,75.5,74.7,70.6,75.0,73.5,80.3
1516,Man City,72.0,81.2,75.5,74.0,76.3,83.2
1516,Man United,73.2,70.4,76.3,70.0,73.1,81.9
1516,Newcastle,72.0,71.4,73.9,72.1,72.4,77.1
1516,Norwich,64.5,67.9,67.9,69.8,67.8,74.3
1516,Southampton,72.2,74.5,70.0,73.2,72.1,77.5
1516,Stoke,68.0,71.8,73.7,73.9,72.5,77.1
1516,Sunderland,75.0,72.2,69.5,71.6,71.2,76.3
1516,Swansea,71.2,73.6,69.6,72.6,71.6,77.3
1516,Tottenham,74.3,77.9,68.3,75.3,71.6,79.3
1516,Watford,67.3,71.1,72.7,69.5,70.6,75.3
1516,West Brom,66.0,72.0,71.3,69.1,70.1,76.1
1516,West Ham,69.7,68.8,71.0,73.3,70.5,76.8
1617,Arsenal,73.0,79.0,74.0,75.8,76.2,83.7
1617,Bournemouth,64.2,65.5,72.7,72.9,69.1,74.4
1617,Burnley,63.0,67.3,65.4,68.6,66.2,73.4
1617,Chelsea,76.2,73.0,75.2,80.5,75.5,84.2
1617,Crystal Palace,77.7,70.6,70.4,71.1,71.3,78.1
1617,Everton,75.5,71.7,73.4,75.6,73.5,80.4
1617,Hull,73.0,66.9,71.1,66.1,68.7,75.5
1617,Leicester,71.0,71.3,71.3,72.4,71.5,79.3
1617,Liverpool,77.7,74.6,70.8,80.9,74.7,81.5
1617,Man City,72.2,74.7,77.2,76.1,75.5,83.9
1617,Man United,79.0,73.5,79.2,82.4,77.9,83.9
1617,Middlesbrough,74.8,67.5,69.2,71.0,69.8,75.7
1617,Southampton,74.0,73.6,70.9,71.2,71.9,78.0
1617,Stoke,69.8,72.9,71.4,75.9,72.7,79.2
1617,Sunderland,69.2,70.6,72.2,68.9,70.7,76.7
1617,Swansea,73.8,72.7,67.0,71.5,70.8,77.9
1617,Tottenham,73.2,72.5,74.2,70.0,73.0,81.5
1617,Watford,70.8,71.6,73.2,70.6,71.6,77.6
1617,West Brom,61.3,70.0,68.9,72.7,68.6,76.8
1617,West Ham,71.3,74.2,71.9,72.9,72.5,79.2
1718,Arsenal,82.5,75.6,73.2,78.4,75.8,83.2
1718,Bournemouth,67.0,68.7,71.1,75.0,70.2,75.9
1718,Brighton,69.2,71.8,70.7,68.9,70.3,74.9
1718,Burnley,71.3,69.6,68.3,67.0,68.6,75.7
1718,Chelsea,78.0,75.0,73.8,84.7,76.5,84.7
1718,Crystal Palace,72.5,75.6,68.2,71.7,70.6,76.8
1718,Everton,75.3,73.6,77.5,72.9,74.7,80.9
1718,Huddersfield,63.0,66.1,66.8,72.8,66.9,73.5
1718,Leicester,71.2,72.2,71.7,73.2,72.2,78.5
1718,Liverpool,75.2,75.2,76.2,76.5,75.9,82.1
1718,Man City,76.0,71.3,76.4,74.8,74.1,84.0
1718,Man United,80.3,79.3,80.6,73.7,77.7,83.9
1718,Newcastle,67.7,70.7,70.4,74.8,70.8,75.5
1718,Southampton,72.7,70.8,71.5,74.5,71.9,78.4
1718,Stoke,69.5,71.7,68.0,74.9,70.6,77.8
1718,Swansea,71.8,70.0,71.3,72.5,71.2,76.9
1718,Tottenham,69.2,76.2,72.9,73.8,73.5,83.2
1718,Watford,74.7,73.9,76.1,72.0,74.2,77.8
1718,West Brom,62.2,70.2,74.5,69.6,70.3,77.8
1718,West Ham,72.7,73.7,67.1,76.9,71.5,79.3
1819,Arsenal,79.3,74.3,73.3,75.9,74.8,82.5
1819,Bournemouth,72.0,70.5,67.4,74.3,70.0,76.7
1819,Brighton,71.0,72.3,72.4,71.2,72.0,76.5
1819,Burnley,74.2,72.7,72.7,69.8,72.1,78.3
1819,Cardiff,69.7,69.6,69.4,67.7,68.9,73.6
1819,Chelsea,77.0,79.2,78.5,78.9,78.7,83.9
1819,Crystal Palace,75.7,70.5,69.8,73.4,71.3,77.7
1819,Everton,72.3,75.5,75.4,76.9,75.6,79.7
1819,Fulham,71.8,69.9,71.8,69.9,70.6,76.7
