home_form_pts,home_form_gf,home_form_ga,home_form_gd,home_form_wins,home_form_draws,away_form_pts,away_form_gf,away_form_ga,away_form_gd,away_form_wins,away_form_draws,home_home_pts,home_home_gd,away_away_pts,away_away_gd,pts_diff,gd_diff,home_position,away_position,position_diff,home_league_pts,away_league_pts,league_pts_diff,home_league_gd,away_league_gd,matchday,elo_home,elo_away,elo_diff,pi_home,pi_away,pi_diff,home_shots_avg,home_shots_against_avg,home_sot_avg,home_sot_against_avg,away_shots_avg,away_shots_against_avg,away_sot_avg,away_sot_against_avg,shots_diff,sot_diff,corners_diff,result
0.0,1.0,2.0,-1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,15,11,-4,0,1,-1,-1.0,0.0,2,1484.0,1500.0,-16.0,0.0,0.0221257046813026,-0.0221257046813026,12.0,12.0,6.0,5.0,10.0,7.0,5.0,2.0,2.0,1.0,-4.0,D
3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4,19,15,3,0,3,1.0,-2.0,2,1516.0,1484.0,32.0,-0.0221257046813026,0.0,-0.0221257046813026,5.0,14.0,4.0,5.0,9.0,11.0,2.0,3.0,-4.0,2.0,-1.0,H
3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7,19,12,3,0,3,1.0,-2.0,2,1516.0,1484.0,32.0,0.0221257046813026,-0.0350684122218951,0.0571941169031978,7.0,12.0,2.0,2.0,12.0,13.0,0.0,5.0,-5.0,2.0,0.0,D
3.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3,10,7,3,1,2,2.0,0.0,2,1516.0,1500.0,16.0,0.0221257046813026,-0.0350684122218951,0.0571941169031978,11.0,9.0,3.0,2.0,11.0,13.0,3.0,3.0,0.0,0.0,1.0,H
1.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,11,6,-5,1,3,-2,0.0,1.0,2,1500.0,1516.0,-16.0,-0.0221257046813026,-0.0221257046813026,0.0,13.0,11.0,3.0,3.0,14.0,4.0,6.0,2.0,-1.0,-3.0,0.0,D
1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12,16,4,1,0,1,0.0,-1.0,2,1500.0,1484.0,16.0,0.0221257046813026,-0.0221257046813026,0.0442514093626052,7.0,10.0,2.0,5.0,14.0,5.0,5.0,4.0,-7.0,-3.0,0.0,D
3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,9,17,8,3,0,3,1.0,-1.0,2,1516.0,1484.0,32.0,0.0,-0.0221257046813026,0.0221257046813026,10.0,18.0,4.0,4.0,19.0,11.0,6.0,4.0,-9.0,-2.0,1.0,H
3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,9,17,8,3,0,3,1.0,-1.0,2,1516.0,1484.0,32.0,0.0221257046813026,-0.0221257046813026,0.0442514093626052,11.0,19.0,4.0,6.0,12.0,7.0,2.0,2.0,-1.0,2.0,-1.0,D
3.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,9,2,3,3,0,2.0,1.0,2,1516.0,1516.0,0.0,0.0350684122218951,0.0221257046813026,0.0129427075405925,13.0,12.0,5.0,0.0,12.0,12.0,5.0,6.0,1.0,0.0,-1.0,H
0.0,0.9135727662741101,3.8271455325482204,-2.91357276627411,0.0,0.0,1.0864272337258898,1.9999999999999998,2.9135727662741098,-0.91357276627411,0.0,1.0864272337258898,0.0,-2.0,1.0,0.0,-1.0864272337258898,-2.0,19,13,-6,0,1,-1,-3.0,-1.0,3,1469.4695015289756,1484.736306793522,-15.26680526454652,-0.0704480632062829,-0.0211277521129579,-0.0493203110933249,10.5,10.5,1.5,4.0,12.0,8.0,4.0,3.5,-1.5,-2.5,-3.0,D
1.9999999999999998,3.9999999999999996,3.9999999999999996,0.0,0.0,1.9999999999999998,6.0,4.91357276627411,0.9135727662741101,4.0,1.9999999999999998,0.0,1.0,0.0,3.0,2.0,-4.0,-4.0,10,3,-7,2,6,-4,0.0,4.0,3,1500.736306793522,1531.263693206478,-30.52738641295582,0.0009979525683446,0.0840659184122293,-0.0830679658438847,10.5,12.0,2.5,3.0,19.0,7.5,6.5,3.0,-8.5,-4.0,6.0,A
6.0,5.08642723372589,1.0864272337258898,4.0,1.9999999999999998,0.0,1.0864272337258898,1.0864272337258898,1.9999999999999998,-0.91357276627411,0.0,1.0864272337258898,3.0,2.0,1.0,0.0,4.91357276627411,4.91357276627411,3,14,11,6,1,5,4.0,-1.0,3,1532.0,1485.4695015289756,46.53049847102443,0.0845797313386634,-0.0201511723230708,0.1047309036617342,11.0,11.5,4.5,1.5,15.5,8.0,2.5,2.0,-4.5,2.0,7.0,A
1.0864272337258898,0.0,1.8271455325482202,-1.8271455325482202,0.0,1.0864272337258898,0.0,1.9999999999999998,5.08642723372589,-3.08642723372589,0.0,0.0,0.0,-2.0,0.0,-1.0,1.0864272337258898,1.2592817011776696,17,19,2,1,0,1,-2.0,-3.0,3,1485.4695015289756,1468.0,17.46950152897557,-0.0483223585249803,-0.0666765617666132,0.0183542032416329,11.5,11.0,2.0,2.5,6.5,15.5,3.0,7.0,5.0,-1.0,7.0,D
0.0,0.0,5.259281701177669,-5.259281701177669,0.0,0.0,1.9999999999999998,2.9135727662741098,2.9135727662741098,0.0,0.0,1.9999999999999998,0.0,-1.0,1.0,0.0,-1.9999999999999998,-5.259281701177669,20,11,-9,0,2,-2,-5.0,0.0,3,1469.4695015289756,1499.263693206478,-29.79419167750234,-0.0816002722126531,-0.0006985667978412,-0.0809017054148119,14.0,14.5,3.5,4.5,9.0,10.0,2.5,4.0,5.0,1.0,-2.0,H
6.0,2.9135727662741098,0.9135727662741101,1.9999999999999996,1.9999999999999998,0.0,1.9999999999999998,1.8271455325482202,1.8271455325482202,0.0,0.0,1.9999999999999998,3.0,1.0,1.0,0.0,4.0,1.9999999999999996,4,12,8,6,2,4,2.0,0.0,3,1530.5304984710244,1499.263693206478,31.26680526454652,0.0511976067680431,-0.0009979525683446,0.0521955593363877,7.5,13.0,4.5,3.0,9.0,7.5,3.5,2.0,-1.5,1.0,-7.0,H
3.2592817011776694,3.2592817011776694,1.9999999999999998,1.2592817011776696,1.0864272337258898,0.0,1.0864272337258898,0.9135727662741101,1.8271455325482202,-0.9135727662741101,0.0,1.0864272337258898,0.0,-1.0,0.0,-1.0,2.1728544674517796,2.1728544674517796,9,17,8,3,1,2,1.0,-1.0,3,1500.0,1484.736306793522,15.26369320647791,0.0034602626771771,-0.0309095827468767,0.0343698454240539,17.5,9.5,6.0,4.0,10.0,10.0,4.0,3.5,7.5,2.0,-7.0,A
3.8271455325482204,0.9135727662741101,0.0,0.9135727662741101,0.9135727662741101,1.0864272337258898,3.8271455325482204,1.9999999999999998,1.0864272337258898,0.91357276627411,0.9135727662741101,1.0864272337258898,1.0,0.0,3.0,1.0,0.0,1.1102230246251565e-16,8,7,-1,4,4,0,1.0,1.0,3,1514.5304984710244,1514.5304984710244,0.0,0.0195894572233251,0.0302259768939557,-0.0106365196706306,8.0,11.5,1.0,3.0,10.0,19.0,3.0,4.5,-2.0,-2.0,-4.0,H
0.9135727662741101,1.8271455325482202,3.9999999999999996,-2.1728544674517796,0.0,0.9135727662741101,3.8271455325482204,3.9999999999999996,3.08642723372589,0.9135727662741098,0.9135727662741101,1.0864272337258898,1.0,0.0,1.0,0.0,-2.91357276627411,-3.0864272337258893,18,6,-12,1,4,-3,-2.0,1.0,3,1484.736306793522,1515.263693206478,-30.52738641295582,-0.0339681866666648,0.0211277521129579,-0.0550959387796227,8.5,20.0,3.5,6.5,13.5,6.0,4.5,2.0,-5.0,-1.0,-5.0,D
6.0,5.259281701177669,0.0,5.259281701177669,1.9999999999999998,0.0,2.7407182988223306,2.9135727662741098,4.17285446745178,-1.2592817011776698,0.9135727662741101,0.0,3.0,4.0,0.0,-2.0,3.2592817011776694,6.518563402355339,4,11,7,6,3,3,5.0,-1.0,3,1530.5304984710244,1500.0,30.53049847102443,0.0935430227783527,-0.0273856144354656,0.1209286372138184,14.0,13.5,4.5,2.5,11.5,10.5,4.0,5.0,2.5,0.5,4.0,A
1.1773925575098214,5.354785115019642,8.167457738466233,-2.8126726234465904,0.0,1.1773925575098214,1.1773925575098214,0.8325422615337668,3.487691965557712,-2.655149704023945,0.0,1.1773925575098214,0.0,-2.0,0.0,-1.0,0.0,-0.1575229194226453,19,20,1,1,1,0,-3.0,-3.0,4,1468.8038229802178,1470.1721117407624,-1.3682887605446012,-0.0256069431010417,0.0337048824551225,-0.0593118255561642,8.333333333333334,16.333333333333332,4.333333333333333,6.0,10.0,9.333333333333334,2.0,3.3333333333333335,-1.666666666666666,2.333333333333333,0.0,D
4.6650845230675335,4.822607442490178,3.990065180956412,0.8325422615337663,0.8325422615337668,2.167457738466233,5.467822327470536,4.635280065936769,2.167457738466233,2.467822327470536,1.8226074424901784,0.0,3.0,1.0,3.0,2.0,-0.8027378044030025,-1.6352800659367697,7,4,-3,5,6,-1,1.0,3.0,4,1513.86146177277,1513.869911281273,-0.0084495085029629,-0.0049209192347606,-0.0468140225262346,0.041893103291474,17.0,7.0,5.0,2.3333333333333335,12.666666666666666,10.0,3.6666666666666665,1.6666666666666667,4.333333333333334,1.3333333333333335,-3.0,D
9.0,11.542112491573052,4.364719934063231,7.177392557509821,3.0,0.0,9.0,6.187327376553409,0.8325422615337668,5.3547851150196415,3.0,0.0,3.0,2.0,3.0,1.0,0.0,1.8226074424901793,1,2,1,9,9,0,7.0,5.0,4,1545.86146177277,1545.0944834315037,0.766978341266622,-0.0433258860139727,-0.0410056478213974,-0.0023202381925752,16.666666666666668,10.666666666666666,7.0,4.333333333333333,10.0,14.0,5.666666666666667,2.6666666666666665,6.666666666666668,1.333333333333333,3.0,H
6.029804457130764,6.187327376553409,3.802737804403002,2.3845895721504067,2.0099348190435884,0.0,7.019869638087176,3.1873273765534096,1.1773925575098214,2.009934819043588,2.0099348190435884,0.9900651809564117,3.0,1.0,3.0,1.0,-0.990065180956412,0.3746547531068187,5,4,-1,6,7,-1,2.0,2.0,4,1517.402373648406,1530.5304984710244,-13.128124822618474,0.015019335175167,-0.0331127309943288,0.0481320661694958,13.333333333333334,9.333333333333334,5.333333333333333,3.6666666666666665,9.0,10.666666666666666,2.0,3.0,4.333333333333334,3.333333333333333,1.0,A
4.522242853485876,4.364719934063231,2.842477080577355,1.522242853485876,1.1773925575098214,0.9900651809564117,2.167457738466233,3.532177672529464,5.1972621955969975,-1.6650845230675335,0.0,2.167457738466233,1.0,0.0,1.0,0.0,2.3547851150196433,3.1873273765534096,8,16,8,4,2,2,1.0,-2.0,4,1501.4387739660467,1484.6656785487578,16.773095417288914,0.0448456159205109,0.0522962125906827,-0.0074505966701718,12.666666666666666,8.0,5.333333333333333,3.0,13.666666666666666,11.333333333333334,2.6666666666666665,4.0,-1.0,2.6666666666666665,0.0,H
1.8226074424901784,2.655149704023945,3.8325422615337668,-1.1773925575098216,0.0,1.8226074424901784,5.467822327470536,4.792802985359414,3.532177672529464,1.2606253128299496,1.8226074424901784,0.0,1.0,0.0,3.0,1.0,-3.6452148849803576,-2.4380178703397712,13,6,-7,2,6,-4,-1.0,2.0,4,1481.8949734492508,1513.1281248226185,-31.23315137336772,0.1252986077935122,0.0945858002215678,0.0307128075719443,11.333333333333334,12.666666666666666,3.6666666666666665,4.333333333333333,11.666666666666666,14.666666666666666,3.3333333333333335,4.333333333333333,-0.33333333333333215,0.33333333333333304,0.0,D
1.8226074424901784,1.6650845230675335,5.1972621955969975,-3.532177672529464,0.0,1.8226074424901784,1.8226074424901784,7.177392557509821,10.709570230039285,-3.532177672529464,0.0,1.8226074424901784,1.0,0.0,1.0,0.0,0.0,0.0,18,16,-2,2,2,0,-3.0,-3.0,4,1484.6997082459989,1486.13853822723,-1.438829981231038,0.029197624320733,0.0594505974681071,-0.030252973147374,11.333333333333334,10.0,3.0,4.0,12.666666666666666,12.0,4.0,4.666666666666667,-1.3333333333333321,-1.0,8.0,A
4.522242853485876,2.167457738466233,1.8226074424901784,0.34485029597605443,1.1773925575098214,0.9900651809564117,2.0099348190435884,2.842477080577355,4.822607442490178,-1.9801303619128232,0.0,2.0099348190435884,0.0,-1.0,0.0,-2.0,2.5123080344422877,2.3249806578888776,11,16,5,4,2,2,0.0,-2.0,4,1503.5995902477025,1486.13853822723,17.461052020472607,-0.071642870196456,-0.0626035704775955,-0.0090392997188604,12.666666666666666,10.666666666666666,2.3333333333333335,2.0,8.666666666666666,21.333333333333332,3.3333333333333335,6.333333333333333,4.0,-1.0,10.0,A
2.167457738466233,1.8226074424901784,2.655149704023945,-0.8325422615337668,0.0,2.167457738466233,3.532177672529464,1.1773925575098214,4.792802985359414,-3.615410427849592,1.1773925575098214,0.0,0.0,-1.0,0.0,-4.0,-1.3647199340632312,2.7828681663158252,16,15,-1,2,3,-1,-1.0,-4.0,4,1484.0336965817355,1486.8382212862027,-2.8045247044672124,-0.0324463265779169,-0.0689340322456557,0.0364877056677388,10.333333333333334,8.333333333333334,3.3333333333333335,3.3333333333333335,15.333333333333334,15.0,4.0,5.0,-5.0,-0.6666666666666665,2.0,H
3.487691965557712,3.0,3.3448502959760544,-0.34485029597605443,0.8325422615337668,0.9900651809564117,2.9701955428692353,4.147588100379057,5.354785115019642,-1.2071970146405855,0.9900651809564117,0.0,1.0,0.0,3.0,2.0,0.5174964226884766,0.862346718664531,12,15,3,4,3,1,0.0,-1.0,4,1498.5304984710244,1483.2975328274754,15.23296564354905,-0.0023122639434782,-0.008175060223863,0.0058627962803848,9.666666666666666,16.333333333333332,3.0,4.333333333333333,13.0,12.333333333333334,4.666666666666667,5.333333333333333,-3.333333333333334,-1.666666666666667,-7.0,D
1.970342862018832,3.2109512176120085,9.815922849514912,-6.604971631902904,0.0,1.970342862018832,4.443339847484432,5.272828677970284,5.586317290496736,-0.3134886125264522,0.7568284600108842,2.1728544674517796,1.0864272337258898,-1.8271455325482204,2.7407182988223306,-0.1728544674517798,-2.4729969854656,-6.291483019376452,20,10,-10,2,5,-3,-6.0,0.0,5,1469.4375086083437,1497.8294436329145,-28.39193502457056,0.0779909837906548,0.0706028321219265,0.0073881516687282,12.5,11.0,3.0,4.75,10.0,16.25,3.75,4.25,2.5,-0.75,2.0,D
2.34314575050762,0.7568284600108842,3.1705111695141484,-2.4136827095032642,0.0,2.34314575050762,2.9296829274626637,4.959340065443832,6.029657137981168,-1.0703170725373363,0.0,2.9296829274626637,1.0864272337258898,-1.8271455325482204,0.9135727662741101,-1.0864272337258896,-0.5865371769550438,-1.343365636965928,19,15,-4,2,3,-1,-3.0,-1.0,5,1470.10910004047,1483.3294511405984,-13.220351100128257,-0.0966749013732636,-0.0074367971344761,-0.0892381042387875,10.25,10.5,2.25,3.25,10.0,13.25,3.0,4.75,0.25,-0.75,4.0,D
10.199948421037009,4.170291283055841,1.070317072537336,3.0999742105185044,3.099974210518504,0.9000257894814959,5.513656920021767,6.929682927462665,6.17285446745178,0.756828460010885,0.7568284600108842,3.243171539989116,4.17285446745178,1.0864272337258898,1.9999999999999998,0.0,4.6862915010152415,2.3431457505076194,2,7,5,10,6,4,3.0,1.0,5,1545.9262135456763,1513.8618508870163,32.064362658659775,-0.0479918356727934,0.0191476124947475,-0.0671394481675409,8.0,12.5,1.75,2.5,16.5,9.0,5.25,3.75,-8.5,-3.5,0.0,A
